Iteration  | w1       | w2       | bias     | Misclassified | Error Rate
0          | -0.3834  | -0.5232  | -1.1833  | 14            | 87.50     %
1          | -0.1093  | -0.1796  | -1.0033  | 12            | 75.00     %
2          | 0.0974   | -0.0000  | -0.7633  | 10            | 62.50     %
3          | 0.3151   | 0.1036   | -0.5233  | 8             | 50.00     %
4          | 0.2936   | 0.2654   | -0.4033  | 6             | 37.50     %
5          | 0.3714   | 0.2312   | -0.2833  | 4             | 25.00     %
6          | 0.3772   | 0.2502   | -0.1933  | 3             | 18.75     %
7          | 0.3842   | 0.2448   | -0.1333  | 2             | 12.50     %
8          | 0.3198   | 0.3281   | -0.1333  | 2             | 12.50     %
9          | 0.3383   | 0.2821   | -0.1033  | 1             | 6.25      %
10         | 0.3569   | 0.2361   | -0.0733  | 1             | 6.25      %
11         | 0.2925   | 0.3193   | -0.0733  | 2             | 12.50     %
12         | 0.3111   | 0.2734   | -0.0433  | 1             | 6.25      %
13         | 0.3296   | 0.2274   | -0.0133  | 1             | 6.25      %
14         | 0.2652   | 0.3106   | -0.0133  | 2             | 12.50     %
15         | 0.2838   | 0.2646   | 0.0167   | 1             | 6.25      %
16         | 0.3023   | 0.2187   | 0.0467   | 1             | 6.25      %
17         | 0.2379   | 0.3019   | 0.0467   | 2             | 12.50     %
18         | 0.2565   | 0.2559   | 0.0767   | 1             | 6.25      %
19         | 0.2751   | 0.2099   | 0.1067   | 1             | 6.25      %
20         | 0.2106   | 0.2932   | 0.1067   | 2             | 12.50     %
21         | 0.2292   | 0.2472   | 0.1367   | 1             | 6.25      %
22         | 0.2478   | 0.2012   | 0.1667   | 1             | 6.25      %
23         | 0.2478   | 0.2012   | 0.1667   | 0             | 0.00      %
